product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
ETH-USD,2095.76,2144.29,192381.94623186,2059.82,2155.73,2095.68,2095.77,2026-04-07 19:25:00.836080+00:00,2026-04-07T19:25:00.891777
ETH-USD,2095.68,2144.29,192381.94723186,2059.82,2155.73,2095.6,2095.69,2026-04-07 19:25:00.842170+00:00,2026-04-07T19:25:00.894162
SOL-USD,80.64,81.92,1495688.13611354,78.36,82.16,80.63,80.64,2026-04-07 19:25:00.845893+00:00,2026-04-07T19:25:00.899327
SOL-USD,80.64,81.92,1495688.74915354,78.36,82.16,80.63,80.64,2026-04-07 19:25:00.846082+00:00,2026-04-07T19:25:00.902483
BTC-USD,68586.9,69727.98,7965.82008946,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:25:00.923370+00:00,2026-04-07T19:25:01.000348
BTC-USD,68586.9,69727.98,7965.82019487,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:25:00.923370+00:00,2026-04-07T19:25:01.002759
BTC-USD,68586.9,69727.98,7965.82025928,67710.01,69997.76,68585.0,68586.91,2026-04-07 19:25:00.923370+00:00,2026-04-07T19:25:01.006151
SOL-USD,80.63,81.92,1495688.76315354,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.025608+00:00,2026-04-07T19:25:01.079425
SOL-USD,80.63,81.92,1495689.19297711,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.025608+00:00,2026-04-07T19:25:01.081815
SOL-USD,80.63,81.92,1495689.63680068,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.026899+00:00,2026-04-07T19:25:01.083170
SOL-USD,80.63,81.92,1495690.08062425,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.027739+00:00,2026-04-07T19:25:01.087888
SOL-USD,80.63,81.92,1495690.52444782,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.029446+00:00,2026-04-07T19:25:01.091187
SOL-USD,80.63,81.92,1495690.96827139,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.030255+00:00,2026-04-07T19:25:01.093930
SOL-USD,80.63,81.92,1495691.41209496,78.36,82.16,80.63,80.64,2026-04-07 19:25:01.033080+00:00,2026-04-07T19:25:01.097940
BTC-USD,68583.82,69727.98,7965.82025938,67710.01,69997.76,68583.56,68583.82,2026-04-07 19:25:01.084176+00:00,2026-04-07T19:25:01.156026
BTC-USD,68583.82,69727.98,7965.8206238,67710.01,69997.76,68583.56,68584.01,2026-04-07 19:25:01.088691+00:00,2026-04-07T19:25:01.165093
BTC-USD,68584.01,69727.98,7965.82085546,67710.01,69997.76,68583.56,68585.5,2026-04-07 19:25:01.088691+00:00,2026-04-07T19:25:01.170547
BTC-USD,68585.5,69727.98,7965.82096773,67710.01,69997.76,68583.56,68585.5,2026-04-07 19:25:01.088691+00:00,2026-04-07T19:25:01.178524
ETH-USD,2095.61,2144.29,192333.73394055,2059.82,2155.73,2095.6,2095.61,2026-04-07 19:25:01.380157+00:00,2026-04-07T19:25:01.433182
ETH-USD,2095.61,2144.29,192333.75780749,2059.82,2155.73,2095.6,2095.7,2026-04-07 19:25:01.380157+00:00,2026-04-07T19:25:01.434507
